Sr.No.,Manager,Entries,Ann_Ret,Ann_Vol,Sharpe_Ratio,Drawdown,Skewness,Kurtosis
32,SUREFIN FINANCIAL CONSULTANTS PVT. LTD,31,-0.11879808772092115,0.22135173527595714,-0.8017895437163396,-0.41113968173402976,-0.236523878334663,4.437031537749892
33,DGS CAPITAL MANAGEMENT PRIVATE LIMITED,31,-0.02058125367103636,0.15355648628436377,-0.5546976360479314,-0.2603889779063418,-0.58932682320022,4.29464504268879
34,JANAK MERCHANT SECURITIES PVT LTD,31,-0.13428495076005498,0.2565316430208323,-0.7487274720069336,-0.4485653327677378,-0.9061963755148007,6.450119501661245
35,ESCORTS SECURITIES LIMITED,31,-0.16188354600521637,0.4245948491890806,-0.5141050581726461,-0.5686122163878834,0.09352171115516522,8.689924019857184
36,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED,31,0.06304040452040871,0.20188035291729983,-0.03301703060111863,-0.22613018776847174,-1.2717606509004602,6.413184006726762
37,NEW HORIZON WEALTH MANAGEMENT PRIVATE LIMITED,31,0.037398131794945444,0.2954448534318288,-0.10473768577494832,-0.34977076670999996,-1.7776435395603898,8.916485055023143
38,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,31,-0.08516183203451022,0.2452480726753377,-0.5951748706685807,-0.35660461484217076,-2.387084271778832,10.687880920781083
39,ELITE WEALTH ADVISORS LIMITED,31,-0.20517921225869096,0.2091556662466689,-1.236152993947611,-0.5082593704903056,-1.2909220061803823,6.180643166945286
40,VALENTIS ADVISORS PRIVATE LIMITED,31,-0.1132051281769989,0.28923955456980976,-0.5958303472070515,-0.5123199836500937,-0.9860496774460719,5.692044989334788
41,IndiaNivesh Investment Managers Private Limited,31,-0.1286144653745227,0.32389114956088405,-0.5769072624802811,-0.5334977086256689,-0.5296855577542958,6.300518988670738
42,VALUEQUEST INVESTMENT ADVISORS PVT. LTD.,31,-0.07793253183550886,0.2791669866423459,-0.4986300120889215,-0.404386671159208,-0.9253166703499606,5.045711446620438
43,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,31,-0.24249024334350855,0.362825138461153,-0.809672350650918,-0.6611203014517222,-0.5135434882983613,5.345652947886326
44,MULTI-ACT EQUITY CONSULTANCY PVT LTD,31,0.055147526654654166,0.1610799982857646,-0.08713452406711206,-0.20760766168000003,-1.2154308447010684,8.274055292664624
45,ELIXIR EQUITIES PVT. LTD.,31,-0.12747918361148725,0.30154097239175925,-0.6161373904130916,-0.46468845257892893,-1.7954036747443172,8.627588552597715
46,VARANIUM CAPITAL ADVISORS PRIVATE LIMITED,31,-0.1414316069376017,0.16755428354859767,-1.1857650670501685,-0.4023705948755398,-1.6095819728993848,7.066713857964681
47,ADITYA BIRLA MONEY LIMITED,31,-0.09478835431167709,0.23776807349640858,-0.6517816696337855,-0.36559625284040165,-1.4380091384224982,6.54014026683896
48,IDFC ASSET MANAGEMENT COMPANY LIMITED,31,-0.05838811389803222,0.18713467158275904,-0.6451144012323838,-0.3209901560341519,-0.996042366678496,6.973577705725704
49,VITOR FUND MANAGERS LLP,31,-0.306048738504193,0.36066444703469,-0.9797966511181344,-0.656627448922428,-0.8643459350641078,5.862490581537984
